"Date","Open","High","Low","Close","Volume","Open Interest","Ticker"
"11091989","66.34000","66.34000","66.34000","66.34000","0","0","$SPXA"
"12091989","66.29000","66.29000","66.29000","66.29000","0","0","$SPXA"
"13091989","65.81000","65.81000","65.81000","65.81000","0","0","$SPXA"
"14091989","65.23000","65.23000","65.23000","65.23000","0","0","$SPXA"
"15091989","65.70000","65.70000","65.70000","65.70000","0","0","$SPXA"
"18091989","66.16000","66.16000","66.16000","66.16000","0","0","$SPXA"
"19091989","66.17000","66.17000","66.17000","66.17000","0","0","$SPXA"
"20091989","66.36000","66.36000","66.36000","66.36000","0","0","$SPXA"
"21091989","66.08000","66.08000","66.08000","66.08000","0","0","$SPXA"
"22091989","66.31000","66.31000","66.31000","66.31000","0","0","$SPXA"
"25091989","65.94000","65.94000","65.94000","65.94000","0","0","$SPXA"
"26091989","65.82000","65.82000","65.82000","65.82000","0","0","$SPXA"
"27091989","66.88000","66.88000","66.88000","66.88000","0","0","$SPXA"
"28091989","68.30000","68.30000","68.30000","68.30000","0","0","$SPXA"
"29091989","68.33000","68.33000","68.33000","68.33000","0","0","$SPXA"
"02101989","68.39000","68.39000","68.39000","68.39000","0","0","$SPXA"
"03101989","69.55000","69.55000","69.55000","69.55000","0","0","$SPXA"
"04101989","70.16000","70.16000","70.16000","70.16000","0","0","$SPXA"
"05101989","70.24000","70.24000","70.24000","70.24000","0","0","$SPXA"
"06101989","70.67000","70.67000","70.67000","70.67000","0","0","$SPXA"
"09101989","70.92000","70.92000","70.92000","70.92000","0","0","$SPXA"
"10101989","70.97000","70.97000","70.97000","70.97000","0","0","$SPXA"
"11101989","70.62000","70.62000","70.62000","70.62000","0","0","$SPXA"
"12101989","69.94000","69.94000","69.94000","69.94000","0","0","$SPXA"
"13101989","65.42000","65.42000","65.42000","65.42000","0","0","$SPXA"
"16101989","67.72000","67.72000","67.72000","67.72000","0","0","$SPXA"
"17101989","67.81000","67.81000","67.81000","67.81000","0","0","$SPXA"
"18101989","68.01000","68.01000","68.01000","68.01000","0","0","$SPXA"
"19101989","69.41000","69.41000","69.41000","69.41000","0","0","$SPXA"
"20101989","69.22000","69.22000","69.22000","69.22000","0","0","$SPXA"
"23101989","69.09000","69.09000","69.09000","69.09000","0","0","$SPXA"
"24101989","69.08000","69.08000","69.08000","69.08000","0","0","$SPXA"
"25101989","69.04000","69.04000","69.04000","69.04000","0","0","$SPXA"
"26101989","68.31000","68.31000","68.31000","68.31000","0","0","$SPXA"
"27101989","67.29000","67.29000","67.29000","67.29000","0","0","$SPXA"
"30101989","67.46000","67.46000","67.46000","67.46000","0","0","$SPXA"
"31101989","68.80000","68.80000","68.80000","68.80000","0","0","$SPXA"
"01111989","69.40000","69.40000","69.40000","69.40000","0","0","$SPXA"
"02111989","69.11000","69.11000","69.11000","69.11000","0","0","$SPXA"
"03111989","68.83000","68.83000","68.83000","68.83000","0","0","$SPXA"
"06111989","67.76000","67.76000","67.76000","67.76000","0","0","$SPXA"
"07111989","68.42000","68.42000","68.42000","68.42000","0","0","$SPXA"
"08111989","69.61000","69.61000","69.61000","69.61000","0","0","$SPXA"
"09111989","69.81000","69.81000","69.81000","69.81000","0","0","$SPXA"
"10111989","70.91000","70.91000","70.91000","70.91000","0","0","$SPXA"
"13111989","69.93000","69.93000","69.93000","69.93000","0","0","$SPXA"
"14111989","69.28000","69.28000","69.28000","69.28000","0","0","$SPXA"
"15111989","70.12000","70.12000","70.12000","70.12000","0","0","$SPXA"
"16111989","70.04000","70.04000","70.04000","70.04000","0","0","$SPXA"
"17111989","70.12000","70.12000","70.12000","70.12000","0","0","$SPXA"
"20111989","70.03000","70.03000","70.03000","70.03000","0","0","$SPXA"
"21111989","70.18000","70.18000","70.18000","70.18000","0","0","$SPXA"
"22111989","71.48000","71.48000","71.48000","71.48000","0","0","$SPXA"
"24111989","72.19000","72.19000","72.19000","72.19000","0","0","$SPXA"
"27111989","72.35000","72.35000","72.35000","72.35000","0","0","$SPXA"
"28111989","72.11000","72.11000","72.11000","72.11000","0","0","$SPXA"
"29111989","71.46000","71.46000","71.46000","71.46000","0","0","$SPXA"
"30111989","72.05000","72.05000","72.05000","72.05000","0","0","$SPXA"
"01121989","72.81000","72.81000","72.81000","72.81000","0","0","$SPXA"
