"Date","Open","High","Low","Close","Volume","Open Interest","Ticker"
"11091989","82.96794","82.96794","82.96794","82.96794","0","0","$SPXE"
"12091989","83.83710","83.83710","83.83710","83.83710","0","0","$SPXE"
"13091989","83.16402","83.16402","83.16402","83.16402","0","0","$SPXE"
"14091989","82.19610","82.19610","82.19610","82.19610","0","0","$SPXE"
"15091989","82.67079","82.67079","82.67079","82.67079","0","0","$SPXE"
"18091989","83.40899","83.40899","83.40899","83.40899","0","0","$SPXE"
"19091989","83.02163","83.02163","83.02163","83.02163","0","0","$SPXE"
"20091989","82.94056","82.94056","82.94056","82.94056","0","0","$SPXE"
"21091989","82.85499","82.85499","82.85499","82.85499","0","0","$SPXE"
"22091989","83.22030","83.22030","83.22030","83.22030","0","0","$SPXE"
"25091989","82.26993","82.26993","82.26993","82.26993","0","0","$SPXE"
"26091989","81.64046","81.64046","81.64046","81.64046","0","0","$SPXE"
"27091989","81.69138","81.69138","81.69138","81.69138","0","0","$SPXE"
"28091989","82.13427","82.13427","82.13427","82.13427","0","0","$SPXE"
"29091989","82.41691","82.41691","82.41691","82.41691","0","0","$SPXE"
"02101989","83.04105","83.04105","83.04105","83.04105","0","0","$SPXE"
"03101989","83.91788","83.91788","83.91788","83.91788","0","0","$SPXE"
"04101989","84.44338","84.44338","84.44338","84.44338","0","0","$SPXE"
"05101989","84.48144","84.48144","84.48144","84.48144","0","0","$SPXE"
"06101989","85.71268","85.71268","85.71268","85.71268","0","0","$SPXE"
"09101989","86.09901","86.09901","86.09901","86.09901","0","0","$SPXE"
"10101989","85.89056","85.89056","85.89056","85.89056","0","0","$SPXE"
"11101989","85.58079","85.58079","85.58079","85.58079","0","0","$SPXE"
"12101989","85.38378","85.38378","85.38378","85.38378","0","0","$SPXE"
"13101989","80.06145","80.06145","80.06145","80.06145","0","0","$SPXE"
"16101989","82.75079","82.75079","82.75079","82.75079","0","0","$SPXE"
"17101989","82.72059","82.72059","82.72059","82.72059","0","0","$SPXE"
"18101989","82.87337","82.87337","82.87337","82.87337","0","0","$SPXE"
"19101989","83.74699","83.74699","83.74699","83.74699","0","0","$SPXE"
"20101989","83.93297","83.93297","83.93297","83.93297","0","0","$SPXE"
"23101989","82.95722","82.95722","82.95722","82.95722","0","0","$SPXE"
"24101989","82.42032","82.42032","82.42032","82.42032","0","0","$SPXE"
"25101989","82.53228","82.53228","82.53228","82.53228","0","0","$SPXE"
"26101989","81.19537","81.19537","81.19537","81.19537","0","0","$SPXE"
"27101989","81.44325","81.44325","81.44325","81.44325","0","0","$SPXE"
"30101989","81.38776","81.38776","81.38776","81.38776","0","0","$SPXE"
"31101989","82.92223","82.92223","82.92223","82.92223","0","0","$SPXE"
"01111989","82.88978","82.88978","82.88978","82.88978","0","0","$SPXE"
