"Date","Open","High","Low","Close","Volume","Open Interest","Ticker"
"11091989","88.17440","88.17440","88.17440","88.17440","0","0","$SPXL"
"12091989","88.51774","88.51774","88.51774","88.51774","0","0","$SPXL"
"13091989","88.16073","88.16073","88.16073","88.16073","0","0","$SPXL"
"14091989","88.34577","88.34577","88.34577","88.34577","0","0","$SPXL"
"15091989","89.45026","89.45026","89.45026","89.45026","0","0","$SPXL"
"18091989","90.63654","90.63654","90.63654","90.63654","0","0","$SPXL"
"19091989","91.28212","91.28212","91.28212","91.28212","0","0","$SPXL"
"20091989","91.18768","91.18768","91.18768","91.18768","0","0","$SPXL"
"21091989","91.16695","91.16695","91.16695","91.16695","0","0","$SPXL"
"22091989","92.33070","92.33070","92.33070","92.33070","0","0","$SPXL"
"25091989","90.93284","90.93284","90.93284","90.93284","0","0","$SPXL"
"26091989","91.00991","91.00991","91.00991","91.00991","0","0","$SPXL"
"27091989","91.27737","91.27737","91.27737","91.27737","0","0","$SPXL"
"28091989","92.26454","92.26454","92.26454","92.26454","0","0","$SPXL"
"29091989","92.56528","92.56528","92.56528","92.56528","0","0","$SPXL"
"02101989","92.65458","92.65458","92.65458","92.65458","0","0","$SPXL"
"03101989","93.78903","93.78903","93.78903","93.78903","0","0","$SPXL"
"04101989","94.67799","94.67799","94.67799","94.67799","0","0","$SPXL"
"05101989","94.66655","94.66655","94.66655","94.66655","0","0","$SPXL"
"06101989","95.57003","95.57003","95.57003","95.57003","0","0","$SPXL"
"09101989","95.05628","95.05628","95.05628","95.05628","0","0","$SPXL"
"10101989","94.24253","94.24253","94.24253","94.24253","0","0","$SPXL"
"11101989","93.36977","93.36977","93.36977","93.36977","0","0","$SPXL"
"12101989","93.46094","93.46094","93.46094","93.46094","0","0","$SPXL"
"13101989","87.82664","87.82664","87.82664","87.82664","0","0","$SPXL"
"16101989","91.65534","91.65534","91.65534","91.65534","0","0","$SPXL"
"17101989","91.20547","91.20547","91.20547","91.20547","0","0","$SPXL"
"18101989","91.39361","91.39361","91.39361","91.39361","0","0","$SPXL"
"19101989","92.80768","92.80768","92.80768","92.80768","0","0","$SPXL"
"20101989","93.21687","93.21687","93.21687","93.21687","0","0","$SPXL"
"23101989","92.25059","92.25059","92.25059","92.25059","0","0","$SPXL"
"24101989","91.51080","91.51080","91.51080","91.51080","0","0","$SPXL"
"25101989","91.82906","91.82906","91.82906","91.82906","0","0","$SPXL"
"26101989","90.82061","90.82061","90.82061","90.82061","0","0","$SPXL"
"27101989","89.90375","89.90375","89.90375","89.90375","0","0","$SPXL"
"30101989","90.30663","90.30663","90.30663","90.30663","0","0","$SPXL"
"31101989","91.36129","91.36129","91.36129","91.36129","0","0","$SPXL"
"01111989","91.42953","91.42953","91.42953","91.42953","0","0","$SPXL"
"02111989","90.84975","90.84975","90.84975","90.84975","0","0","$SPXL"
"03111989","90.57417","90.57417","90.57417","90.57417","0","0","$SPXL"
"06111989","89.63262","89.63262","89.63262","89.63262","0","0","$SPXL"
"07111989","90.38056","90.38056","90.38056","90.38056","0","0","$SPXL"
"08111989","91.21524","91.21524","91.21524","91.21524","0","0","$SPXL"
"09111989","90.75848","90.75848","90.75848","90.75848","0","0","$SPXL"
"10111989","91.58340","91.58340","91.58340","91.58340","0","0","$SPXL"
"13111989","91.59435","91.59435","91.59435","91.59435","0","0","$SPXL"
"14111989","91.19581","91.19581","91.19581","91.19581","0","0","$SPXL"
"15111989","91.93021","91.93021","91.93021","91.93021","0","0","$SPXL"
"16111989","91.48052","91.48052","91.48052","91.48052","0","0","$SPXL"
"17111989","91.50845","91.50845","91.50845","91.50845","0","0","$SPXL"
"20111989","91.13665","91.13665","91.13665","91.13665","0","0","$SPXL"
"21111989","91.39597","91.39597","91.39597","91.39597","0","0","$SPXL"
"22111989","92.12119","92.12119","92.12119","92.12119","0","0","$SPXL"
"24111989","92.79747","92.79747","92.79747","92.79747","0","0","$SPXL"
"27111989","92.81601","92.81601","92.81601","92.81601","0","0","$SPXL"
"28111989","92.32926","92.32926","92.32926","92.32926","0","0","$SPXL"
"29111989","91.88245","91.88245","91.88245","91.88245","0","0","$SPXL"
"30111989","93.41116","93.41116","93.41116","93.41116","0","0","$SPXL"
"01121989","95.25383","95.25383","95.25383","95.25383","0","0","$SPXL"
"04121989","95.70386","95.70386","95.70386","95.70386","0","0","$SPXL"
"05121989","94.89611","94.89611","94.89611","94.89611","0","0","$SPXL"
"06121989","94.62978","94.62978","94.62978","94.62978","0","0","$SPXL"
"07121989","94.38944","94.38944","94.38944","94.38944","0","0","$SPXL"
"08121989","94.64972","94.64972","94.64972","94.64972","0","0","$SPXL"
"11121989","95.12949","95.12949","95.12949","95.12949","0","0","$SPXL"
"12121989","96.53750","96.53750","96.53750","96.53750","0","0","$SPXL"
"13121989","98.78730","98.78730","98.78730","98.78730","0","0","$SPXL"
"14121989","98.84390","98.84390","98.84390","98.84390","0","0","$SPXL"
"15121989","99.25459","99.25459","99.25459","99.25459","0","0","$SPXL"
"18121989","96.96642","96.96642","96.96642","96.96642","0","0","$SPXL"
"19121989","96.07533","96.07533","96.07533","96.07533","0","0","$SPXL"
"20121989","95.68126","95.68126","95.68126","95.68126","0","0","$SPXL"
"21121989","96.21777","96.21777","96.21777","96.21777","0","0","$SPXL"
"22121989","98.40452","98.40452","98.40452","98.40452","0","0","$SPXL"
"26121989","97.88864","97.88864","97.88864","97.88864","0","0","$SPXL"
"27121989","98.13428","98.13428","98.13428","98.13428","0","0","$SPXL"
"28121989","99.00020","99.00020","99.00020","99.00020","0","0","$SPXL"
"29121989","99.89503","99.89503","99.89503","99.89503","0","0","$SPXL"
"02011990","101.26949","101.26949","101.26949","101.26949","0","0","$SPXL"
"03011990","100.46741","100.46741","100.46741","100.46741","0","0","$SPXL"
"04011990","97.77695","97.77695","97.77695","97.77695","0","0","$SPXL"
"05011990","95.64554","95.64554","95.64554","95.64554","0","0","$SPXL"
"08011990","97.12217","97.12217","97.12217","97.12217","0","0","$SPXL"
"09011990","95.64093","95.64093","95.64093","95.64093","0","0","$SPXL"
"10011990","94.04421","94.04421","94.04421","94.04421","0","0","$SPXL"
"11011990","93.83314","93.83314","93.83314","93.83314","0","0","$SPXL"
"12011990","91.09641","91.09641","91.09641","91.09641","0","0","$SPXL"
"15011990","89.93883","89.93883","89.93883","89.93883","0","0","$SPXL"
"16011990","91.42604","91.42604","91.42604","91.42604","0","0","$SPXL"
"17011990","90.14788","90.14788","90.14788","90.14788","0","0","$SPXL"
"18011990","90.41904","90.41904","90.41904","90.41904","0","0","$SPXL"
"19011990","90.92606","90.92606","90.92606","90.92606","0","0","$SPXL"
"22011990","87.95065","87.95065","87.95065","87.95065","0","0","$SPXL"
"23011990","88.79642","88.79642","88.79642","88.79642","0","0","$SPXL"
"24011990","88.75780","88.75780","88.75780","88.75780","0","0","$SPXL"
"25011990","87.92436","87.92436","87.92436","87.92436","0","0","$SPXL"
"26011990","86.33028","86.33028","86.33028","86.33028","0","0","$SPXL"
"29011990","86.42890","86.42890","86.42890","86.42890","0","0","$SPXL"
"30011990","84.76495","84.76495","84.76495","84.76495","0","0","$SPXL"
"31011990","86.98192","86.98192","86.98192","86.98192","0","0","$SPXL"
"01021990","86.85391","86.85391","86.85391","86.85391","0","0","$SPXL"
"02021990","87.58878","87.58878","87.58878","87.58878","0","0","$SPXL"
"05021990","88.13001","88.13001","88.13001","88.13001","0","0","$SPXL"
"06021990","86.78540","86.78540","86.78540","86.78540","0","0","$SPXL"
"07021990","87.15393","87.15393","87.15393","87.15393","0","0","$SPXL"
"08021990","86.43143","86.43143","86.43143","86.43143","0","0","$SPXL"
"09021990","86.40015","86.40015","86.40015","86.40015","0","0","$SPXL"
"12021990","85.53915","85.53915","85.53915","85.53915","0","0","$SPXL"
"13021990","85.73811","85.73811","85.73811","85.73811","0","0","$SPXL"
"14021990","86.22146","86.22146","86.22146","86.22146","0","0","$SPXL"
"15021990","86.87257","86.87257","86.87257","86.87257","0","0","$SPXL"
"16021990","85.64661","85.64661","85.64661","85.64661","0","0","$SPXL"
"20021990","83.66983","83.66983","83.66983","83.66983","0","0","$SPXL"
"21021990","83.27690","83.27690","83.27690","83.27690","0","0","$SPXL"
"22021990","83.45029","83.45029","83.45029","83.45029","0","0","$SPXL"
"23021990","83.37362","83.37362","83.37362","83.37362","0","0","$SPXL"
"26021990","84.87473","84.87473","84.87473","84.87473","0","0","$SPXL"
"27021990","85.79860","85.79860","85.79860","85.79860","0","0","$SPXL"
"28021990","86.50805","86.50805","86.50805","86.50805","0","0","$SPXL"
"01031990","87.15398","87.15398","87.15398","87.15398","0","0","$SPXL"
"02031990","88.12705","88.12705","88.12705","88.12705","0","0","$SPXL"
"05031990","87.76971","87.76971","87.76971","87.76971","0","0","$SPXL"
"06031990","88.99720","88.99720","88.99720","88.99720","0","0","$SPXL"
"07031990","88.24497","88.24497","88.24497","88.24497","0","0","$SPXL"
"08031990","89.35625","89.35625","89.35625","89.35625","0","0","$SPXL"
"09031990","88.72587","88.72587","88.72587","88.72587","0","0","$SPXL"
"12031990","89.09768","89.09768","89.09768","89.09768","0","0","$SPXL"
"13031990","88.46348","88.46348","88.46348","88.46348","0","0","$SPXL"
"14031990","87.92570","87.92570","87.92570","87.92570","0","0","$SPXL"
"15031990","88.32453","88.32453","88.32453","88.32453","0","0","$SPXL"
"16031990","89.68224","89.68224","89.68224","89.68224","0","0","$SPXL"
"19031990","90.14038","90.14038","90.14038","90.14038","0","0","$SPXL"
"20031990","89.61082","89.61082","89.61082","89.61082","0","0","$SPXL"
