"Date","Open","High","Low","Close","Volume","Open Interest","Ticker"
"11091989","95.52346","95.52346","95.52346","95.52346","0","0","$SPXU"
"12091989","95.70633","95.70633","95.70633","95.70633","0","0","$SPXU"
"13091989","95.17684","95.17684","95.17684","95.17684","0","0","$SPXU"
"14091989","94.98830","94.98830","94.98830","94.98830","0","0","$SPXU"
"15091989","95.69772","95.69772","95.69772","95.69772","0","0","$SPXU"
"18091989","95.86983","95.86983","95.86983","95.86983","0","0","$SPXU"
"19091989","95.79445","95.79445","95.79445","95.79445","0","0","$SPXU"
"20091989","96.17095","96.17095","96.17095","96.17095","0","0","$SPXU"
"21091989","95.85651","95.85651","95.85651","95.85651","0","0","$SPXU"
"22091989","96.06611","96.06611","96.06611","96.06611","0","0","$SPXU"
"25091989","95.50834","95.50834","95.50834","95.50834","0","0","$SPXU"
"26091989","95.44157","95.44157","95.44157","95.44157","0","0","$SPXU"
"27091989","95.28143","95.28143","95.28143","95.28143","0","0","$SPXU"
"28091989","95.72649","95.72649","95.72649","95.72649","0","0","$SPXU"
"29091989","95.70634","95.70634","95.70634","95.70634","0","0","$SPXU"
"02101989","95.87853","95.87853","95.87853","95.87853","0","0","$SPXU"
"03101989","96.29382","96.29382","96.29382","96.29382","0","0","$SPXU"
"04101989","96.23094","96.23094","96.23094","96.23094","0","0","$SPXU"
"05101989","96.25246","96.25246","96.25246","96.25246","0","0","$SPXU"
"06101989","96.26275","96.26275","96.26275","96.26275","0","0","$SPXU"
"09101989","96.59531","96.59531","96.59531","96.59531","0","0","$SPXU"
"10101989","96.70334","96.70334","96.70334","96.70334","0","0","$SPXU"
"11101989","96.50184","96.50184","96.50184","96.50184","0","0","$SPXU"
"12101989","96.49177","96.49177","96.49177","96.49177","0","0","$SPXU"
"13101989","93.44314","93.44314","93.44314","93.44314","0","0","$SPXU"
"16101989","94.91582","94.91582","94.91582","94.91582","0","0","$SPXU"
"17101989","94.94424","94.94424","94.94424","94.94424","0","0","$SPXU"
"18101989","94.75340","94.75340","94.75340","94.75340","0","0","$SPXU"
"19101989","95.61342","95.61342","95.61342","95.61342","0","0","$SPXU"
"20101989","95.90614","95.90614","95.90614","95.90614","0","0","$SPXU"
"23101989","95.76596","95.76596","95.76596","95.76596","0","0","$SPXU"
"24101989","95.47897","95.47897","95.47897","95.47897","0","0","$SPXU"
"25101989","95.82344","95.82344","95.82344","95.82344","0","0","$SPXU"
