,Dates,Summary of Econ Projections,polarity,subjectivity,LM_POS,LM_neg,CB_POS,CB_neg,word_count
0,20000202,0,0.14405594405594405,0.3622377622377623,3,9,0,4,490
1,20000321,0,0.1256198347107438,0.30433884297520664,3,9,0,4,504
2,20000516,0,0.17272727272727273,0.4522727272727272,5,9,2,4,466
3,20000628,0,0.13232974910394266,0.3536917562724014,4,4,0,0,412
4,20000822,0,0.15530158730158736,0.468031746031746,4,4,0,0,408
5,20001003,0,0.1723402523402524,0.4566585266585265,9,4,2,0,459
6,20001115,0,0.13108571428571428,0.3336285714285715,3,8,0,0,384
7,20001219,0,0.1433823529411765,0.2651960784313726,3,22,0,9,311
8,20010103,0,0.11755227476925595,0.3468528955321407,7,11,6,7,664
9,20010131,0,0.09937417654808957,0.3155467720685111,10,18,9,10,697
10,20010320,0,0.12695035460992912,0.2843971631205673,4,17,0,7,622
11,20010418,0,0.1447638983823194,0.42966934381408034,9,31,0,9,777
12,20010515,0,0.1544903013653013,0.4265213952713954,12,23,4,8,925
13,20010627,0,0.10272727272727274,0.28980519480519484,8,15,3,3,505
14,20010821,0,0.13260188087774297,0.2721786833855799,6,13,3,5,498
15,20010917,0,0.05687830687830689,0.38921957671957663,4,8,2,0,415
16,20011002,0,0.13459595959595963,0.374810606060606,5,10,2,3,457
17,20011106,0,0.12676767676767678,0.3454545454545454,8,11,6,6,427
18,20011211,0,0.1425299506694856,0.44758045571999056,8,9,6,4,495
19,20020130,0,0.21200000000000008,0.30800000000000005,8,12,4,5,329
20,20020319,0,0.14573863636363638,0.322427398989899,7,11,0,0,830
21,20020507,0,0.11097560975609756,0.3026422764227642,5,8,0,0,504
22,20020626,0,0.10714285714285716,0.32309523809523805,5,8,0,0,558
23,20020813,0,0.11207897793263648,0.2558652729384437,7,10,3,6,587
24,20020924,0,0.12269503546099289,0.27056737588652474,7,13,3,0,798
25,20021106,0,0.1590909090909091,0.31244588744588736,5,6,0,0,718
26,20021210,0,0.1677018633540373,0.31677018633540377,3,5,0,0,462
27,20030129,0,0.1675,0.26125,5,3,2,0,466
28,20030318,0,0.12623376623376623,0.33792207792207785,5,2,2,2,606
29,20030506,0,-0.004545454545454543,0.21590909090909086,15,10,7,10,591
30,20030625,0,0.06895223420647151,0.28605546995377495,9,11,6,6,922
31,20030812,0,0.0576923076923077,0.34230769230769226,2,4,0,4,383
32,20030916,0,0.06944444444444446,0.3062499999999999,3,8,0,8,580
33,20031028,0,0.06944444444444446,0.3062499999999999,5,6,2,6,582
34,20031209,0,0.031707317073170746,0.28373983739837394,5,6,2,3,557
35,20040128,0,0.02165071770334928,0.25111642743221685,5,6,2,3,562
36,20040316,0,0.02822966507177034,0.2366427432216905,3,12,2,5,557
37,20040504,0,0.03437500000000001,0.33072916666666663,6,0,4,3,545
38,20040630,0,0.03438416422287391,0.2479472140762463,11,0,4,3,884
39,20040810,0,0.051319648093841645,0.2971407624633431,10,2,2,3,927
40,20040921,0,0.041642228739002946,0.2777859237536656,12,0,4,3,895
41,20041110,0,0.0374331550802139,0.29242424242424236,5,0,2,1,256
42,20041214,0,0.04917976760082023,0.2744010375589326,28,0,10,6,2122
