Dates,Summary of Econ Projections
20000202,0
20000321,0
20000516,0
20000628,0
20000822,0
20001003,0
20001115,0
20001219,0
20010103,0
20010131,0
20010320,0
20010418,0
20010515,0
20010627,0
20010821,0
20010917,0
20011002,0
20011106,0
20011211,0
20020130,0
20020319,0
20020507,0
20020626,0
20020813,0
20020924,0
20021106,0
20021210,0
20030129,0
20030318,0
20030506,0
20030625,0
20030812,0
20030916,0
20031028,0
20031209,0
20040128,0
20040316,0
20040504,0
20040630,0
20040810,0
20040921,0
20041110,0
20041214,0
20050202,0
20050322,0
20050503,0
20050630,0
20050809,0
20050920,0
20051101,0
20051213,0
20060131,0
20060328,0
20060510,0
20060629,0
20060808,0
20060920,0
20061025,0
20061212,0
20070131,0
20070321,0
20070509,0
20070618,0
20070807,0
20070810,0
20070817,0
20070918,0
20071031,1
20071211,0
20080122,0
20080130,1
20080311,0
20080318,0
20080430,1
20080625,1
20080805,0
20080916,0
20081008,0
20081029,1
20081216,0
20090128,1
20090318,0
20090429,1
20090624,1
20090812,0
20090923,0
20091104,1
20091216,0
20100127,1
20100316,0
20100428,1
20100509,0
20100623,1
20100810,0
20100921,0
20101103,1
20101214,0
20110126,1
20110315,0
20110427,1
20110622,1
20110809,0
20110921,0
20111102,1
20111213,0
20120125,1
20120313,0
20120425,1
20120620,1
20120801,0
20120913,1
20121024,0
20121212,1
20130130,0
20130320,1
20130501,0
20130619,1
20130731,0
20130918,1
20131030,0
20131218,1
20140129,0
20140304,0
20140319,1
20140430,0
20140618,1
20140730,0
20140917,1
20141029,0
20141217,1
20150128,0
20150318,1
20150429,0
20150617,1
20150729,0
20150917,1
20151028,0
20151216,1
20160127,0
20160316,1
20160427,0
20160615,1
20160727,0
20160921,1
20161102,0
20161214,1
20170201,0
20170315,1
20170503,0
20170614,1
20170726,0
20170920,1
20171101,0
20171213,1
20180131,0
20180321,1
20180502,0
20180613,1
20180801,0
20180926,1
20181108,0
20181219,1
20190130,0
20190320,1
20190501,0
20190619,1
20190731,0
20190918,1
20191030,0
20191211,1
